name,mean_wind,mean_pressure,year,result
GALY,25.28888,1063,2017,1
BETI,30.433320000000002,1057,2017,1
WILLY,27.8611,1064,2017,1
ANNETTE_ANNETTE_JAMI_JAMINY,27.8611,1062,2017,1
HARVEY,27.8611,1061,2017,1
HAJA,27.346656,1060,2017,1
BOBBY,30.433320000000002,1056,2017,1
INGRID,27.8611,1061,2017,1
NAMELESS,30.433320000000002,1057,2017,1
JAMINY,27.346656,1060,2017,1
CHLOE,27.8611,1062,2017,1
FERDINAND,25.28888,1064,2017,1
JIM,25.28888,1064,2017,1
DARYL,27.8611,1064,2017,1
CYRIL,30.433320000000002,1057,2017,1
KATHY,25.28888,1066,2017,1
NAMELESS,30.433320000000002,1057,2017,1
LANCE,25.28888,1065,2017,1
SUBTROP,27.8611,1065,2017,1
ARTHUR,27.8611,1070,2017,1
BERTHA,27.8611,1069,2017,1
CESAR,27.8611,1068,2017,1
DIANA,33.00554,1068,2017,1
EDOUARD,30.433320000000002,1060,2017,1
FRAN,27.8611,1070,2017,1
GUSTAV,30.433320000000002,1069,2017,1
HORTENSE,30.433320000000002,1069,2017,1
ISIDORE,30.433320000000002,1063,2017,1
JOSEPHINE,27.8611,1070,2017,1
KLAUS,22.716659999999994,1064,2017,1
ANETY,25.28888,1063,2017,1
BOBALAHY,27.346656,1060,2017,1
EMMA,25.28888,1066,2017,1
LILI,40.7222,1055,2017,1
FRANK,27.8611,1061,2017,1
CYC_HSK0785,33.00554,1055,2017,1
MONICA,27.8611,1060,2017,1
CELESTINA,29.404432,1057,2017,1
DRENA,30.433320000000002,1057,2017,1
ERIC,30.433320000000002,1057,2017,1
NIGEL,25.28888,1065,2017,1
ODETTE,27.8611,1062,2017,1
FREDA,30.433320000000002,1057,2017,1
GERTIE,25.28888,1066,2017,1
HUBERT,27.8611,1061,2017,1
ESITERA,33.519984,1051,2017,1
ISOBEL,25.28888,1063,2017,1
JACOB,27.8611,1063,2017,1
PIERRE,27.8611,1062,2017,1
REBECCA,27.8611,1060,2017,1
KIRSTY,22.716659999999994,1066,2017,1
GAVIN,30.433320000000002,1057,2017,1
LINDSAY,25.28888,1066,2017,1
HINA,30.433320000000002,1057,2017,1
SANDY,27.8611,1060,2017,1
TANYA,27.8611,1063,2017,1
MARGOT,25.28888,1065,2017,1
GRETEL,30.433320000000002,1058,2017,1
ANA,30.433320000000002,1071,2017,1
BOB,27.8611,1072,2017,1
CLAUDETTE,27.8611,1073,2017,1
DANNY,27.8611,1070,2017,1
ELENA,30.433320000000002,1072,2017,1
FABIAN,27.8611,1068,2017,1
GLORIA,27.8611,1069,2017,1
HENRI,27.8611,1068,2017,1
ISABEL,30.433320000000002,1066,2017,1
JUAN,30.433320000000002,1065,2017,1
KATE,33.00554,1059,2017,1
NICHOLAS,25.28888,1065,2017,1
DELIFINA,37.635536,1044,2017,1
OPHELIA,25.28888,1065,2017,1
HECTOR,27.8611,1058,2017,1
PANCHO,27.8611,1062,2017,1
VERNON,25.28888,1060,2017,1
WINIFRED,27.8611,1063,2017,1
ERINESTA,25.28888,1063,2017,1
FILOMENA,33.519984,1051,2017,1
IMA,30.433320000000002,1057,2017,1
JUNE,30.433320000000002,1057,2017,1
KELI,30.433320000000002,1057,2017,1
RHONDA,25.28888,1062,2017,1
GISTA,33.519984,1051,2017,1
SELWYN,27.8611,1063,2017,1
TIFFANY,27.8611,1064,2017,1
LUSI,30.433320000000002,1057,2017,1
VICTOR,27.8611,1059,2017,1
ALFRED,25.28888,1065,2017,1
HONORININA,33.519984,1051,2017,1
JEFOTRA,33.519984,1051,2017,1
ALISON_ALISON_KRISO_KRISOSTOMA,25.28888,1063,2017,1
MARTIN,30.433320000000002,1057,2017,1
MANU,25.28888,1065,2017,1
BILLY-LILA_BILLY_LILA_LILA,25.28888,1062,2017,1
NAMU,30.433320000000002,1057,2017,1
ANDREW,30.433320000000002,1067,2017,1
BONNIE,27.8611,1074,2017,1
CHARLEY,20.14444,1069,2017,1
DANIELLE,27.8611,1068,2017,1
EARL,30.433320000000002,1070,2017,1
FRANCES,30.433320000000002,1069,2017,1
OSEA,30.433320000000002,1057,2017,1
PATSY,30.433320000000002,1057,2017,1
RAJA,30.433320000000002,1057,2017,1
SALLY,30.433320000000002,1057,2017,1
TUSI,30.433320000000002,1057,2017,1
CONNIE,27.8611,1062,2017,1
ALININA,25.28888,1063,2017,1
IRMA,27.8611,1060,2017,1
DAMIEN,25.28888,1058,2017,1
UMA_VELI,30.433320000000002,1057,2017,1
JASON,27.8611,1062,2017,1
BEMAZAVA,25.28888,1063,2017,1
VELI,35.57776,1050,2017,1
CLOTILDA,27.346656,1060,2017,1
ELSIE,30.433320000000002,1055,2017,1
WINI,30.433320000000002,1057,2017,1
HSK2087,33.00554,1055,2017,1
MISSING_1374,33.00554,1055,2017,1
DAODO,33.519984,1051,2017,1
YALI,30.433320000000002,1057,2017,1
KAY,27.8611,1063,2017,1
ZUMAN,30.433320000000002,1057,2017,1
BLANCH_BLANCHE,30.433320000000002,1057,2017,1
ARLENE,20.14444,1076,2017,1
MISSING_1376,30.433320000000002,1070,2017,1
BRET,27.8611,1071,2017,1
CINDY,27.8611,1071,2017,1
DENNIS,27.8611,1072,2017,1
EMILY,27.8611,1068,2017,1
FLOYD,27.8611,1064,2017,1
ARINY,29.404432,1057,2017,1
BENANDRO,29.404432,1057,2017,1
AGI,30.433320000000002,1057,2017,1
AGI,30.433320000000002,1057,2017,1
ANNE,30.433320000000002,1057,2017,1
CALIDERA_CALIDERO,27.346656,1060,2017,1
CALIDERA,27.346656,1060,2017,1
DOAZA,29.404432,1057,2017,1
FREDERIC,27.8611,1063,2017,1
EZENINA_GWENDA_GWENDA_EZENI,25.28888,1064,2017,1
CHARLIE,30.433320000000002,1057,2017,1
FILAO,25.28888,1063,2017,1
BOLA,30.433320000000002,1057,2017,1
CILLA,30.433320000000002,1057,2017,1
GASITAO,33.519984,1051,2017,1
HELY,29.404432,1057,2017,1
DOVI,30.433320000000002,1057,2017,1
DOVI,43.29442,1040,2017,1
IARISENA,25.28888,1063,2017,1
HERBIE,27.8611,1060,2017,1
ALETTA,30.433320000000002,1067,2017,1
BUD,30.433320000000002,1067,2017,1
CARLOTTA,30.433320000000002,1070,2017,1
DANIEL,27.8611,1069,2017,1
EMILIA,27.8611,1072,2017,1
FABIO,27.8611,1071,2017,1
GILMA,27.8611,1070,2017,1
HECTOR,27.8611,1072,2017,1
IVA,27.8611,1072,2017,1
ALBERTO,25.28888,1075,2017,1
BERYL,27.8611,1070,2017,1
JOHN,27.8611,1072,2017,1
CHRIS,27.8611,1069,2017,1
KRISTY,30.433320000000002,1072,2017,1
DEBBY,27.8611,1066,2017,1
ERNESTO,27.8611,1076,2017,1
MISSING_1386,27.8611,1071,2017,1
FLORENCE,27.8611,1060,2017,1
GILBERT,27.8611,1068,2017,1
HELENE,30.433320000000002,1069,2017,1
LANE,27.8611,1070,2017,1
ISAAC,27.8611,1069,2017,1
JOAN_MIRIAM,27.8611,1070,2017,1
ADELININA,29.404432,1057,2017,1
KEITH,30.433320000000002,1068,2017,1
ILONA,27.8611,1060,2017,1
ESETA,30.433320000000002,1057,2017,1
DELILAH,25.28888,1061,2017,1
FILI,30.433320000000002,1057,2017,1
GINA,30.433320000000002,1057,2017,1
CALASANJY,27.346656,1060,2017,1
DONA,27.346656,1060,2017,1
EDME,41.751088,1036,2017,1
JOHN,27.8611,1064,2017,1
KIRRILY,25.28888,1066,2017,1
HARRY,30.433320000000002,1057,2017,1
MISSING_1387,30.433320000000002,1057,2017,1
HANITRA_LEON_LEON_HANITRA,25.28888,1068,2017,1
HINANO,33.00554,1055,2017,1
JUDY,30.433320000000002,1057,2017,1
IVY,30.433320000000002,1057,2017,1
IANA,29.404432,1057,2017,1
MARCIA,25.28888,1064,2017,1
MARCIA,25.28888,1064,2017,1
JINABO_JINARO,27.346656,1060,2017,1
NED,25.28888,1063,2017,1
KRISY,27.346656,1060,2017,1
KERRY,30.433320000000002,1057,2017,1
AIVU,27.8611,1060,2017,1
LEZISSY,33.519984,1051,2017,1
LILI,33.00554,1055,2017,1
LEZISSY,37.635536,1044,2017,1
ORSON,27.8611,1060,2017,1
MEENA,30.433320000000002,1057,2017,1
ERNIE,30.433320000000002,1057,2017,1
ADOLPH,30.433320000000002,1069,2017,1
BARBARA,27.8611,1070,2017,1
ALLISON,30.433320000000002,1068,2017,1
DALILIA,27.8611,1074,2017,1
BARRY,27.8611,1075,2017,1
ERICK,27.8611,1073,2017,1
FLOSSIE,27.8611,1071,2017,1
GIL,27.8611,1070,2017,1
DEAN,27.8611,1070,2017,1
CHANTAL,25.28888,1071,2017,1
HENRIETTE,30.433320000000002,1069,2017,1
ISMAEL,25.28888,1072,2017,1
ERIN,27.8611,1072,2017,1
JULIETTE,27.8611,1069,2017,1
FELIX,27.8611,1069,2017,1
KIKO,30.433320000000002,1066,2017,1
LORENA,27.8611,1071,2017,1
MANUEL,27.8611,1069,2017,1
GABRIELLE,27.8611,1071,2017,1
NARDA,27.8611,1072,2017,1
OCTAVE,27.8611,1070,2017,1
HUGO,27.8611,1070,2017,1
IRIS,27.8611,1077,2017,1
PRISCILLA,27.8611,1064,2017,1
